球员,赛季,果,比赛,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
詹姆斯-哈登,16-17,负,勇士107-98火箭,1,35,23.50%,4,17,22.20%,2,9,100.00%,7,7,12,4,8,8,0,1,6,3,17
詹姆斯-哈登,16-17,负,开拓者117-107火箭,1,37,36.70%,11,30,15.40%,2,13,85.70%,6,7,8,2,6,4,1,0,6,2,30
詹姆斯-哈登,16-17,负,勇士113-106火箭,1,38,25.00%,5,20,11.10%,1,9,100.00%,13,13,11,3,8,13,1,0,6,1,24
詹姆斯-哈登,16-17,胜,雷霆125-137火箭,1,36,53.30%,8,15,25.00%,2,8,80.00%,4,5,5,0,5,12,0,0,5,5,22
詹姆斯-哈登,16-17,胜,鹈鹕107-117火箭,1,38,50.00%,12,24,41.70%,5,12,81.80%,9,11,7,1,6,17,2,1,3,2,38
詹姆斯-哈登,16-17,胜,掘金124-125火箭,1,40,44.80%,13,29,36.40%,4,11,81.80%,9,11,7,1,6,11,4,0,6,4,39
詹姆斯-哈登,16-17,胜,掘金105-109火箭,1,37,47.80%,11,23,37.50%,3,8,88.20%,15,17,10,0,10,10,2,0,8,3,40
詹姆斯-哈登,16-17,负,鹈鹕128-112火箭,1,40,57.10%,12,21,40.00%,4,10,92.90%,13,14,14,2,12,11,2,0,5,2,41
詹姆斯-哈登,16-17,胜,湖人100-139火箭,1,31,50.00%,6,12,16.70%,1,6,71.40%,5,7,12,3,9,13,2,0,9,2,18
詹姆斯-哈登,16-17,胜,骑士112-117火箭,1,40,46.40%,13,28,28.60%,4,14,66.70%,8,12,10,3,7,11,1,1,4,2,38
詹姆斯-哈登,16-17,胜,公牛94-115火箭,1,33,37.50%,6,16,33.30%,3,9,80.00%,4,5,7,0,7,13,3,0,6,3,19
詹姆斯-哈登,16-17,负,爵士115-108火箭,1,37,45.50%,10,22,0.00%,0,8,93.80%,15,16,4,0,4,6,2,1,6,1,35
詹姆斯-哈登,16-17,负,马刺112-110火箭,1,36,65.00%,13,20,66.70%,6,9,87.50%,7,8,3,1,2,12,0,0,7,2,39
詹姆斯-哈登,16-17,胜,灰熊108-123火箭,1,36,60.00%,9,15,60.00%,6,10,69.20%,9,13,7,1,6,11,2,0,5,2,33
詹姆斯-哈登,16-17,胜,快船103-122火箭,1,36,46.70%,7,15,44.40%,4,9,100.00%,8,8,3,0,3,9,1,0,7,4,26
詹姆斯-哈登,16-17,负,步行者117-108火箭,1,39,29.40%,5,17,11.10%,1,9,82.40%,14,17,7,1,6,12,2,0,2,2,25
詹姆斯-哈登,16-17,胜,森林狼130-142火箭,1,35,40.00%,6,15,45.50%,5,11,70.00%,7,10,5,0,5,10,2,1,7,1,24
詹姆斯-哈登,16-17,胜,鹈鹕99-129火箭,1,30,33.30%,3,9,16.70%,1,6,100.00%,6,6,4,0,4,14,3,0,4,1,13
詹姆斯-哈登,16-17,负,热火117-109火箭,1,42,47.60%,10,21,40.00%,4,10,87.50%,14,16,12,3,9,12,0,1,4,5,38
詹姆斯-哈登,16-17,胜,太阳102-133火箭,1,29,52.90%,9,17,53.30%,8,15,87.50%,14,16,6,1,5,8,0,0,8,2,40
詹姆斯-哈登,16-17,胜,黄蜂95-107火箭,1,39,38.10%,8,21,44.40%,4,9,83.30%,10,12,11,1,10,8,1,1,9,4,30
詹姆斯-哈登,16-17,胜,魔术104-128火箭,1,36,28.60%,6,21,30.00%,3,10,71.40%,10,14,6,1,5,13,3,0,4,1,25
詹姆斯-哈登,16-17,胜,公牛117-121火箭,1,44,39.40%,13,33,38.50%,5,13,78.60%,11,14,12,1,11,9,1,1,2,4,42
詹姆斯-哈登,16-17,负,老鹰113-108火箭,1,39,43.50%,10,23,41.70%,5,12,76.20%,16,21,8,2,6,8,4,0,4,3,41
詹姆斯-哈登,16-17,胜,国王83-105火箭,1,32,33.30%,3,9,0.00%,0,5,100.00%,4,4,7,0,7,8,1,0,5,2,10
詹姆斯-哈登,16-17,负,步行者120-101火箭,1,32,17.60%,3,17,20.00%,2,10,100.00%,7,7,5,1,4,8,3,0,8,5,15
詹姆斯-哈登,16-17,胜,76人118-123火箭,1,39,57.10%,16,28,54.50%,6,11,92.90%,13,14,13,1,12,13,2,1,5,4,51
詹姆斯-哈登,16-17,负,凯尔特120-109火箭,1,37,33.30%,6,18,18.20%,2,11,84.20%,16,19,6,0,6,12,1,1,7,3,30
詹姆斯-哈登,16-17,负,雄鹿127-114火箭,1,40,60.00%,6,10,50.00%,2,4,85.70%,12,14,8,0,8,12,3,1,11,3,26
詹姆斯-哈登,16-17,胜,灰熊95-119火箭,1,34,77.80%,7,9,66.70%,4,6,91.70%,11,12,6,1,5,10,3,2,6,3,29
詹姆斯-哈登,16-17,负,勇士125-108火箭,1,35,46.20%,6,13,0.00%,0,5,100.00%,5,5,6,0,6,11,1,0,7,3,17
詹姆斯-哈登,16-17,胜,雄鹿92-111火箭,1,37,56.00%,14,25,36.40%,4,11,100.00%,6,6,6,0,6,8,0,2,2,2,38
詹姆斯-哈登,16-17,负,热火109-103火箭,1,39,40.00%,12,30,26.70%,4,15,92.30%,12,13,12,1,11,10,2,0,6,3,40
詹姆斯-哈登,16-17,胜,篮网112-137火箭,1,32,37.50%,6,16,44.40%,4,9,85.70%,6,7,12,2,10,11,1,0,7,4,22
詹姆斯-哈登,16-17,负,灰熊110-105火箭,1,37,42.90%,6,14,28.60%,2,7,92.90%,13,14,3,0,3,9,1,0,7,3,27
詹姆斯-哈登,16-17,负,森林狼119-105火箭,1,39,43.50%,10,23,18.20%,2,11,84.60%,11,13,6,0,6,12,1,2,6,0,33
詹姆斯-哈登,16-17,胜,黄蜂114-121火箭,1,38,45.80%,11,24,50.00%,7,14,78.60%,11,14,15,1,14,10,0,0,4,3,40
詹姆斯-哈登,16-17,胜,猛龙122-129火箭,1,38,50.00%,13,26,44.40%,4,9,100.00%,10,10,10,3,7,11,2,2,10,3,40
詹姆斯-哈登,16-17,胜,魔术93-100火箭,1,34,33.30%,5,15,0.00%,0,8,66.70%,4,6,6,1,5,10,1,0,6,4,14
詹姆斯-哈登,16-17,胜,雷霆116-118火箭,1,38,37.50%,6,16,28.60%,2,7,85.70%,12,14,8,1,7,12,1,1,6,2,26
詹姆斯-哈登,16-17,胜,奇才91-101火箭,1,42,25.00%,6,24,18.20%,2,11,90.00%,9,10,10,1,9,10,3,0,6,1,23
詹姆斯-哈登,16-17,胜,尼克斯122-129火箭,1,42,53.80%,14,26,56.30%,9,16,88.90%,16,18,16,3,13,17,0,0,8,2,53
詹姆斯-哈登,16-17,胜,快船116-140火箭,1,34,66.70%,10,15,40.00%,2,5,88.90%,8,9,13,1,12,10,5,2,6,1,30
詹姆斯-哈登,16-17,胜,小牛107-123火箭,1,30,56.30%,9,16,57.10%,4,7,100.00%,12,12,5,2,3,11,0,1,7,2,34
詹姆斯-哈登,16-17,胜,太阳115-131火箭,1,30,50.00%,9,18,22.20%,2,9,80.00%,12,15,5,1,4,12,0,0,7,4,32
詹姆斯-哈登,16-17,负,灰熊115-109火箭,1,36,46.20%,6,13,33.30%,2,6,66.70%,2,3,7,1,6,17,1,0,9,5,16
詹姆斯-哈登,16-17,胜,太阳111-125火箭,1,35,44.40%,8,18,45.50%,5,11,75.00%,6,8,5,1,4,14,1,0,2,1,27
詹姆斯-哈登,16-17,负,马刺102-100火箭,1,37,38.50%,10,26,9.10%,1,11,100.00%,10,10,10,2,8,7,1,0,3,1,31
詹姆斯-哈登,16-17,胜,森林狼109-111火箭,1,43,40.00%,8,20,27.30%,3,11,81.80%,9,11,9,0,9,13,1,2,7,5,28
詹姆斯-哈登,16-17,胜,鹈鹕100-122火箭,1,34,46.70%,7,15,50.00%,6,12,81.80%,9,11,11,2,9,13,0,0,4,2,29
詹姆斯-哈登,16-17,胜,国王98-132火箭,1,30,57.10%,4,7,50.00%,3,6,100.00%,4,4,11,0,11,14,1,0,5,0,15
詹姆斯-哈登,16-17,胜,篮网118-122火箭,1,39,44.40%,12,27,36.40%,4,11,66.70%,8,12,8,3,5,11,2,0,4,3,36
詹姆斯-哈登,16-17,胜,小牛87-109火箭,1,40,33.30%,4,12,25.00%,2,8,80.00%,8,10,9,0,9,17,2,0,4,1,18
詹姆斯-哈登,16-17,胜,雷霆99-102火箭,1,37,26.10%,6,23,18.20%,2,11,87.50%,7,8,9,1,8,12,2,0,8,5,21
詹姆斯-哈登,16-17,胜,湖人95-134火箭,1,30,57.10%,8,14,57.10%,4,7,83.30%,5,6,6,0,6,7,4,0,4,0,25
詹姆斯-哈登,16-17,胜,凯尔特106-107火箭,1,35,57.10%,8,14,60.00%,3,5,100.00%,18,18,8,1,7,7,3,0,10,2,37
詹姆斯-哈登,16-17,胜,掘金110-128火箭,1,33,37.50%,6,16,20.00%,1,5,87.50%,7,8,7,1,6,9,1,1,5,3,20
詹姆斯-哈登,16-17,胜,勇士127-132火箭,1,46,34.80%,8,23,18.20%,2,11,78.60%,11,14,15,1,14,13,2,1,7,4,29
詹姆斯-哈登,16-17,负,爵士120-101火箭,1,35,34.80%,8,23,33.30%,2,6,80.00%,8,10,5,3,2,7,2,0,2,3,26
詹姆斯-哈登,16-17,胜,开拓者114-130火箭,1,34,50.00%,11,22,41.70%,5,12,84.60%,11,13,2,1,1,10,2,1,5,3,38
詹姆斯-哈登,16-17,胜,国王104-117火箭,1,40,33.30%,6,18,27.30%,3,11,100.00%,8,8,9,1,8,10,0,0,5,2,23
詹姆斯-哈登,16-17,负,猛龙115-102火箭,1,41,53.80%,7,13,37.50%,3,8,100.00%,12,12,6,0,6,15,2,1,12,4,29
詹姆斯-哈登,16-17,胜,活塞96-99火箭,1,38,35.30%,6,17,22.20%,2,9,73.70%,14,19,8,2,6,11,0,1,6,2,28
詹姆斯-哈登,16-17,胜,爵士102-111火箭,1,35,41.70%,10,24,40.00%,4,10,77.80%,7,9,4,0,4,10,0,2,0,3,31
詹姆斯-哈登,16-17,胜,开拓者109-126火箭,1,32,41.20%,7,17,37.50%,3,8,81.80%,9,11,12,1,11,14,3,0,4,3,26
詹姆斯-哈登,16-17,负,雷霆105-103火箭,1,37,25.00%,4,16,20.00%,1,5,57.10%,4,7,7,3,4,13,3,0,6,1,13
詹姆斯-哈登,16-17,胜,76人88-115火箭,1,33,60.00%,12,20,50.00%,4,8,100.00%,5,5,7,1,6,9,1,1,5,2,33
詹姆斯-哈登,16-17,负,马刺106-100火箭,1,39,38.90%,7,18,22.20%,2,9,81.80%,9,11,11,5,6,13,0,0,7,1,25
詹姆斯-哈登,16-17,胜,马刺99-101火箭,1,41,47.40%,9,19,20.00%,1,5,71.40%,5,7,12,2,10,15,1,0,8,1,24
詹姆斯-哈登,16-17,胜,奇才106-114火箭,1,40,47.40%,9,19,42.90%,3,7,100.00%,11,11,5,0,5,15,0,0,7,2,32
詹姆斯-哈登,16-17,负,老鹰112-97火箭,1,37,52.60%,10,19,50.00%,4,8,85.70%,6,7,9,1,8,11,3,0,8,4,30
詹姆斯-哈登,16-17,胜,尼克斯99-118火箭,1,34,56.30%,9,16,41.70%,5,12,87.50%,7,8,6,1,5,15,2,0,3,1,30
詹姆斯-哈登,16-17,负,骑士128-120火箭,1,38,65.00%,13,20,55.60%,5,9,71.40%,10,14,7,1,6,15,1,0,1,3,41
詹姆斯-哈登,16-17,胜,小牛92-93火箭,1,39,34.80%,8,23,33.30%,3,9,75.00%,9,12,7,1,6,8,1,0,8,4,28
詹姆斯-哈登,16-17,胜,小牛98-106火箭,1,36,50.00%,9,18,44.40%,4,9,80.00%,4,5,7,1,6,8,1,0,4,4,26
詹姆斯-哈登,16-17,负,湖人120-114火箭,1,37,47.40%,9,19,14.30%,1,7,93.80%,15,16,7,3,4,17,1,0,7,5,34
詹姆斯-哈登,15-16,胜,国王81-116火箭,1,30,48.10%,13,27,50.00%,5,10,87.50%,7,8,4,2,2,4,0,0,1,3,38
詹姆斯-哈登,15-16,胜,森林狼105-129火箭,1,32,57.10%,12,21,71.40%,5,7,71.40%,5,7,1,0,1,6,0,0,3,0,34
詹姆斯-哈登,15-16,胜,湖人110-130火箭,1,41,45.20%,14,31,42.90%,6,14,75.00%,6,8,4,1,3,13,4,0,4,2,40
詹姆斯-哈登,15-16,负,太阳124-115火箭,1,43,71.40%,10,14,83.30%,5,6,71.40%,5,7,2,0,2,7,2,0,3,3,30
詹姆斯-哈登,15-16,负,小牛88-86火箭,1,44,36.40%,8,22,40.00%,4,10,85.70%,6,7,5,0,5,4,1,2,6,4,26
詹姆斯-哈登,15-16,胜,雷霆110-118火箭,1,43,48.00%,12,25,45.50%,5,11,85.70%,12,14,4,1,3,9,3,1,5,2,41
詹姆斯-哈登,15-16,负,公牛103-100火箭,1,42,40.00%,8,20,28.60%,2,7,75.00%,6,8,4,0,4,8,0,2,4,1,24
詹姆斯-哈登,15-16,胜,骑士100-106火箭,1,44,50.00%,8,16,37.50%,3,8,80.00%,8,10,6,2,4,8,1,0,4,2,27
詹姆斯-哈登,15-16,负,步行者104-101火箭,1,44,50.00%,11,22,36.40%,4,11,72.70%,8,11,8,0,8,8,1,0,5,1,34
詹姆斯-哈登,15-16,胜,猛龙109-112火箭,1,42,50.00%,11,22,42.90%,3,7,70.00%,7,10,10,0,10,13,1,1,7,3,32
詹姆斯-哈登,15-16,负,爵士89-87火箭,1,42,42.10%,8,19,33.30%,2,6,88.90%,8,9,7,0,7,10,8,0,5,3,26
詹姆斯-哈登,15-16,负,雷霆111-107火箭,1,40,41.20%,7,17,25.00%,2,8,100.00%,8,8,7,0,7,16,4,0,5,6,24
詹姆斯-哈登,15-16,负,老鹰109-97火箭,1,37,41.20%,7,17,60.00%,3,5,100.00%,8,8,6,1,5,8,1,1,3,2,25
詹姆斯-哈登,15-16,胜,森林狼111-116火箭,1,38,55.00%,11,20,37.50%,3,8,100.00%,4,4,5,0,5,14,3,0,9,2,29
詹姆斯-哈登,15-16,负,快船122-106火箭,1,44,47.80%,11,23,50.00%,5,10,75.00%,6,8,5,0,5,8,1,1,8,2,33
詹姆斯-哈登,15-16,胜,灰熊81-130火箭,1,25,37.50%,3,8,40.00%,2,5,87.50%,7,8,7,0,7,8,1,3,5,1,15
詹姆斯-哈登,15-16,负,黄蜂125-109火箭,1,34,14.30%,2,14,0.00%,0,5,88.90%,8,9,3,1,2,10,2,0,1,3,12
詹姆斯-哈登,15-16,胜,凯尔特98-102火箭,1,36,47.40%,9,19,16.70%,1,6,86.70%,13,15,3,0,3,4,1,1,6,4,32
詹姆斯-哈登,15-16,胜,76人104-118火箭,1,41,30.80%,8,26,0.00%,0,8,100.00%,13,13,9,2,7,8,1,1,4,4,29
詹姆斯-哈登,15-16,胜,猛龙107-113火箭,1,43,55.00%,11,20,42.90%,3,7,78.90%,15,19,5,0,5,14,1,0,1,4,40
詹姆斯-哈登,15-16,负,公牛108-100火箭,1,40,38.50%,10,26,33.30%,4,12,85.70%,12,14,5,1,4,8,0,0,9,5,36
詹姆斯-哈登,15-16,胜,鹈鹕95-100火箭,1,40,45.80%,11,24,11.10%,1,9,88.90%,16,18,12,3,9,7,4,1,8,3,39
詹姆斯-哈登,15-16,负,雄鹿128-121火箭,1,40,50.00%,8,16,42.90%,3,7,100.00%,7,7,6,0,6,9,3,0,4,3,26
詹姆斯-哈登,15-16,负,马刺104-94火箭,1,41,40.00%,10,25,37.50%,3,8,100.00%,4,4,4,1,3,2,1,0,5,2,27
詹姆斯-哈登,15-16,胜,开拓者105-119火箭,1,46,61.50%,16,26,44.40%,4,9,76.90%,10,13,5,2,3,8,3,0,5,5,46
詹姆斯-哈登,15-16,负,爵士117-114火箭,1,44,53.30%,16,30,28.60%,2,7,80.00%,8,10,5,1,4,4,2,0,5,5,42
詹姆斯-哈登,15-16,胜,太阳100-116火箭,1,33,37.50%,6,16,11.10%,1,9,82.40%,14,17,10,1,9,7,3,1,2,5,27
詹姆斯-哈登,15-16,负,开拓者116-103火箭,1,42,50.00%,10,20,37.50%,3,8,78.60%,11,14,9,2,7,11,2,0,8,4,34
詹姆斯-哈登,15-16,负,勇士123-110火箭,1,40,47.60%,10,21,60.00%,6,10,84.60%,11,13,5,0,5,5,3,1,1,2,37
詹姆斯-哈登,15-16,负,开拓者96-79火箭,1,36,38.90%,7,18,44.40%,4,9,83.30%,15,18,8,0,8,3,3,1,10,2,33
詹姆斯-哈登,15-16,胜,太阳105-111火箭,1,36,21.10%,4,19,22.20%,2,9,100.00%,7,7,9,2,7,6,2,0,4,2,17
詹姆斯-哈登,15-16,胜,热火102-115火箭,1,35,52.60%,10,19,37.50%,3,8,75.00%,3,4,4,0,4,14,2,1,3,2,26
詹姆斯-哈登,15-16,负,奇才123-122火箭,1,37,60.00%,12,20,66.70%,6,9,100.00%,10,10,7,1,6,11,4,0,2,5,40
詹姆斯-哈登,15-16,负,雷霆116-108火箭,1,39,36.40%,8,22,28.60%,2,7,88.20%,15,17,7,0,7,7,2,1,3,2,33
詹姆斯-哈登,15-16,负,马刺130-99火箭,1,28,50.00%,5,10,33.30%,1,3,100.00%,9,9,3,1,2,2,0,1,5,1,20
詹姆斯-哈登,15-16,胜,鹈鹕111-112火箭,1,41,55.00%,11,20,60.00%,3,5,100.00%,10,10,11,0,11,8,1,1,2,4,35
詹姆斯-哈登,15-16,胜,小牛104-115火箭,1,36,38.90%,7,18,30.00%,3,10,100.00%,6,6,15,2,13,10,0,2,2,1,23
詹姆斯-哈登,15-16,胜,雄鹿98-102火箭,1,34,60.00%,9,15,62.50%,5,8,87.50%,7,8,5,0,5,8,2,0,2,2,30
詹姆斯-哈登,15-16,负,活塞123-114火箭,1,36,40.90%,9,22,42.90%,3,7,100.00%,12,12,17,2,15,14,1,0,6,5,33
詹姆斯-哈登,15-16,负,快船140-132火箭,1,40,41.70%,5,12,28.60%,2,7,61.50%,8,13,3,0,3,8,0,0,3,4,20
詹姆斯-哈登,15-16,胜,湖人95-112火箭,1,27,58.80%,10,17,57.10%,4,7,70.00%,7,10,3,0,3,5,0,0,2,1,31
詹姆斯-哈登,15-16,负,骑士91-77火箭,1,38,20.00%,2,10,0.00%,0,5,100.00%,7,7,5,0,5,5,3,1,8,5,11
詹姆斯-哈登,15-16,胜,森林狼104-107火箭,1,35,36.40%,8,22,20.00%,2,10,81.80%,9,11,3,0,3,11,1,0,6,1,27
詹姆斯-哈登,15-16,胜,灰熊91-107火箭,1,33,46.20%,6,13,44.40%,4,9,90.00%,9,10,5,1,4,5,1,0,6,4,25
詹姆斯-哈登,15-16,胜,步行者103-107火箭,1,43,40.00%,8,20,22.20%,2,9,75.00%,3,4,9,0,9,9,1,0,5,5,21
詹姆斯-哈登,15-16,胜,爵士94-103火箭,1,34,52.00%,13,25,0.00%,0,7,70.00%,7,10,8,2,6,3,2,1,4,1,33
詹姆斯-哈登,15-16,胜,爵士91-93火箭,1,42,36.00%,9,25,33.30%,4,12,88.90%,8,9,5,2,3,7,0,1,8,3,30
詹姆斯-哈登,15-16,负,马刺121-103火箭,1,30,60.00%,6,10,40.00%,2,5,100.00%,3,3,2,1,1,3,1,0,5,3,17
詹姆斯-哈登,15-16,负,勇士114-110火箭,1,34,42.10%,8,19,50.00%,5,10,100.00%,9,9,5,0,5,5,3,0,3,5,30
詹姆斯-哈登,15-16,负,老鹰121-115火箭,1,39,37.50%,6,16,50.00%,3,6,91.70%,11,12,10,0,10,8,1,0,7,3,26
詹姆斯-哈登,15-16,负,鹈鹕110-108火箭,1,34,38.10%,8,21,45.50%,5,11,100.00%,4,4,6,1,5,5,1,0,2,4,25
詹姆斯-哈登,15-16,胜,马刺84-88火箭,1,38,33.30%,7,21,33.30%,2,6,80.00%,4,5,4,0,4,9,0,1,4,3,20
詹姆斯-哈登,15-16,负,魔术104-101火箭,1,40,66.70%,12,18,50.00%,2,4,83.30%,5,6,3,0,3,7,1,0,3,2,31
詹姆斯-哈登,15-16,胜,黄蜂95-102火箭,1,35,56.30%,9,16,28.60%,2,7,84.20%,16,19,5,1,4,7,0,1,4,4,36
詹姆斯-哈登,15-16,胜,快船97-107火箭,1,34,30.80%,4,13,0.00%,0,4,100.00%,10,10,5,0,5,11,0,1,5,4,18
詹姆斯-哈登,15-16,胜,湖人87-107火箭,1,36,29.20%,7,24,22.20%,2,9,90.00%,9,10,6,2,4,6,1,1,3,2,25
詹姆斯-哈登,15-16,负,国王107-97火箭,1,36,55.60%,10,18,50.00%,4,8,75.00%,9,12,7,1,6,6,1,0,7,2,33
詹姆斯-哈登,15-16,负,掘金114-108火箭,1,34,45.00%,9,20,62.50%,5,8,33.30%,1,3,3,1,2,6,3,0,2,1,24
詹姆斯-哈登,15-16,胜,湖人97-126火箭,1,32,52.40%,11,21,60.00%,3,5,100.00%,5,5,3,0,3,3,3,0,2,2,30
詹姆斯-哈登,15-16,胜,奇才103-109火箭,1,40,56.50%,13,23,55.60%,5,9,91.70%,11,12,9,2,7,7,2,2,7,4,42
詹姆斯-哈登,15-16,负,篮网110-105火箭,1,35,22.20%,2,9,20.00%,1,5,83.30%,5,6,3,0,3,9,3,0,7,2,10
詹姆斯-哈登,15-16,胜,国王113-120火箭,1,36,42.90%,6,14,83.30%,5,6,87.50%,14,16,2,0,2,9,0,1,5,4,31
詹姆斯-哈登,15-16,胜,小牛96-100火箭,1,36,43.50%,10,23,16.70%,1,6,80.00%,4,5,8,1,7,9,1,2,4,1,25
詹姆斯-哈登,15-16,胜,鹈鹕101-108火箭,1,38,35.00%,7,20,12.50%,1,8,90.00%,9,10,10,0,10,6,1,1,0,1,24
詹姆斯-哈登,15-16,负,活塞116-105火箭,1,42,40.00%,6,15,50.00%,2,4,88.20%,15,17,9,1,8,7,2,0,5,4,29
詹姆斯-哈登,15-16,胜,尼克斯111-116火箭,1,45,35.70%,10,28,0.00%,0,7,60.00%,6,10,7,3,4,9,2,0,2,2,26
詹姆斯-哈登,15-16,胜,76人114-116火箭,1,40,50.00%,14,28,50.00%,6,12,80.00%,16,20,9,2,7,8,0,0,9,2,50
詹姆斯-哈登,15-16,负,灰熊102-93火箭,1,41,63.20%,12,19,55.60%,5,9,100.00%,11,11,5,1,4,5,3,1,4,2,40
詹姆斯-哈登,15-16,负,尼克斯107-102火箭,1,38,40.00%,8,20,75.00%,3,4,100.00%,5,5,7,1,6,10,3,2,3,3,24
詹姆斯-哈登,15-16,负,灰熊96-84火箭,1,36,46.70%,7,15,14.30%,1,7,87.50%,7,8,6,0,6,5,2,2,6,1,22
詹姆斯-哈登,15-16,胜,开拓者103-108火箭,1,47,37.90%,11,29,26.70%,4,15,95.00%,19,20,8,1,7,11,5,1,5,2,45
詹姆斯-哈登,15-16,负,凯尔特111-95火箭,1,30,40.00%,4,10,57.10%,4,7,100.00%,4,4,1,0,1,3,0,0,4,4,16
詹姆斯-哈登,15-16,负,小牛110-98火箭,1,42,23.80%,5,21,16.70%,1,6,100.00%,14,14,7,3,4,10,2,1,6,4,25
詹姆斯-哈登,15-16,负,掘金107-98火箭,1,38,47.40%,9,19,20.00%,1,5,81.80%,9,11,8,0,8,5,3,2,4,4,28
詹姆斯-哈登,15-16,负,篮网106-98火箭,1,38,36.40%,8,22,30.00%,3,10,80.00%,4,5,9,0,9,6,1,0,4,2,23
詹姆斯-哈登,15-16,胜,快船105-109火箭,1,40,53.80%,14,26,50.00%,5,10,92.90%,13,14,4,0,4,2,1,0,7,4,46
詹姆斯-哈登,15-16,胜,国王110-116火箭,1,42,56.50%,13,23,40.00%,4,10,81.30%,13,16,6,2,4,13,2,0,7,0,43
詹姆斯-哈登,15-16,胜,魔术114-119火箭,1,44,27.30%,6,22,18.20%,2,11,82.40%,14,17,7,2,5,4,0,0,7,5,28
詹姆斯-哈登,15-16,胜,雷霆105-110火箭,1,38,46.20%,12,26,33.30%,4,12,81.80%,9,11,5,0,5,3,3,2,2,1,37
詹姆斯-哈登,15-16,负,热火109-89火箭,1,39,13.30%,2,15,0.00%,0,10,85.70%,12,14,6,0,6,7,3,1,5,2,16
詹姆斯-哈登,15-16,负,勇士112-92火箭,1,37,22.20%,4,18,10.00%,1,10,87.50%,7,8,7,2,5,5,1,1,4,2,16
詹姆斯-哈登,15-16,负,掘金105-85火箭,1,36,28.60%,6,21,16.70%,2,12,88.90%,8,9,6,1,5,6,2,2,3,2,22
