日期,天气状况,最高温度,最低温度,白天风力风向,夜晚风力风向
2021年9月1日,雷阵雨/雷阵雨,33℃,26℃,北风1-2级,北风1-2级
2021年9月2日,多云/多云,33℃,26℃,北风1-2级,北风1-2级
2021年9月3日,多云/多云,35℃,27℃,北风1-2级,北风1-2级
2021年9月4日,阵雨/多云,35℃,27℃,北风1-2级,北风1-2级
2021年9月5日,阵雨/晴,35℃,27℃,北风1-2级,北风1-2级
2021年9月6日,雷阵雨/中雨,35℃,25℃,北风1-2级,北风1-2级
2021年9月7日,中雨/阵雨,34℃,27℃,北风1-2级,北风1-2级
2021年9月8日,多云/多云,34℃,26℃,北风1-2级,北风1-2级
2021年9月9日,雷阵雨/多云,35℃,28℃,北风1-2级,北风1-2级
2021年9月10日,雷阵雨/多云,36℃,28℃,北风1-2级,北风1-2级
2021年9月11日,多云/多云,36℃,27℃,西北风1-2级,西北风1-2级
2021年9月12日,雷阵雨/多云,36℃,26℃,西北风1-2级,西北风1-2级
2021年9月13日,多云/多云,36℃,27℃,北风1-2级,北风1-2级
2021年9月14日,雷阵雨/雷阵雨,35℃,27℃,北风1-2级,北风1-2级
2021年9月15日,雷阵雨/多云,35℃,27℃,北风1-2级,北风1-2级
2021年9月16日,中雨/多云,34℃,26℃,北风1-2级,北风1-2级
2021年9月17日,雷阵雨/多云,34℃,28℃,北风1-2级,北风1-2级
2021年9月18日,多云/多云,35℃,27℃,北风1-2级,北风1-2级
2021年9月19日,雷阵雨/雷阵雨,35℃,27℃,北风1-2级,北风1-2级
2021年9月20日,多云/多云,35℃,25℃,北风1-2级,北风1-2级
2021年9月21日,多云/多云,36℃,27℃,北风1-2级,北风1-2级
2021年9月22日,阴/阴,36℃,25℃,北风1-2级,北风1-2级
2021年9月23日,雷阵雨/多云,34℃,26℃,北风1-2级,北风1-2级
2021年9月24日,雷阵雨/雷阵雨,33℃,26℃,北风1-2级,北风1-2级
2021年9月25日,多云/多云,34℃,25℃,北风1-2级,北风1-2级
2021年9月26日,多云/晴,35℃,26℃,北风1-2级,北风1-2级
2021年9月27日,晴/晴,36℃,26℃,北风1-2级,北风1-2级
2021年9月28日,多云/晴,36℃,28℃,北风1-2级,北风1-2级
2021年9月29日,多云/多云,36℃,27℃,北风1-2级,北风1-2级
2021年9月30日,雷阵雨/多云,36℃,27℃,北风1-2级,北风1-2级
2021年10月1日,雷阵雨/雷阵雨,35℃,25℃,北风1-2级,北风1-2级
2021年10月2日,多云/雷阵雨,34℃,25℃,北风1-2级,北风1-2级
2021年10月3日,雷阵雨/雷阵雨,33℃,26℃,北风1-2级,北风1-2级
2021年10月4日,多云/多云,35℃,27℃,北风1-2级,北风1-2级
2021年10月5日,多云/多云,34℃,24℃,北风1-2级,北风1-2级
2021年10月6日,多云/多云,34℃,26℃,北风1-2级,北风1-2级
2021年10月7日,阵雨/阴,34℃,26℃,北风1-2级,北风1-2级
2021年10月8日,中雨/暴雨,29℃,24℃,东北风4-5级,东北风4-5级
2021年10月9日,中雨/中雨,28℃,24℃,东风3-4级,东风3-4级
2021年10月10日,中雨/雷阵雨,29℃,22℃,北风1-2级,北风1-2级
2021年10月11日,多云/阴,29℃,20℃,北风3-4级,北风3-4级
2021年10月12日,雷阵雨/雷阵雨,29℃,21℃,北风4-5级,北风4-5级
2021年10月13日,中雨/小雨,25℃,21℃,北风1-2级,北风1-2级
2021年10月14日,阴/多云,28℃,22℃,北风3-4级,北风3-4级
2021年10月15日,小雨/中雨,27℃,20℃,北风1-2级,北风1-2级
2021年10月16日,多云/多云,26℃,18℃,北风3-4级,北风3-4级
2021年10月17日,多云/多云,24℃,17℃,北风3-4级,北风3-4级
2021年10月18日,多云/多云,26℃,17℃,北风1-2级,北风1-2级
2021年10月19日,多云/多云,29℃,21℃,北风1-2级,北风1-2级
2021年10月20日,多云/阴,30℃,20℃,北风1-2级,北风1-2级
2021年10月21日,小雨/阵雨,21℃,16℃,北风3-4级,北风3-4级
2021年10月22日,阴/阴,19℃,15℃,北风1-2级,北风1-2级
2021年10月23日,多云/多云,21℃,17℃,北风1-2级,北风1-2级
2021年10月24日,多云/多云,24℃,15℃,北风1-2级,北风1-2级
2021年10月25日,多云/多云,26℃,19℃,北风1-2级,北风1-2级
2021年10月26日,多云/阴,27℃,20℃,北风1-2级,北风1-2级
2021年10月27日,多云/多云,28℃,21℃,北风1-2级,北风1-2级
2021年10月28日,多云/多云,28℃,20℃,北风1-2级,北风1-2级
2021年10月29日,阴/小雨,28℃,19℃,北风1-2级,北风1-2级
2021年10月30日,小雨/小雨,22℃,19℃,北风1-2级,北风1-2级
2021年10月31日,阴/阴,24℃,19℃,北风1-2级,北风1-2级
2021年11月1日,多云/多云,27℃,20℃,北风1-2级,北风1-2级
2021年11月2日,阴/多云,27℃,20℃,北风1-2级,北风1-2级
2021年11月3日,阴/多云,28℃,22℃,北风1-2级,北风1-2级
2021年11月4日,多云/多云,28℃,22℃,北风1-2级,北风1-2级
2021年11月5日,多云/多云,29℃,22℃,北风1-2级,北风1-2级
2021年11月6日,多云/多云,30℃,22℃,北风1-2级,北风1-2级
2021年11月7日,小雨/小雨,28℃,12℃,北风1-2级,北风1-2级
2021年11月8日,多云/多云,17℃,11℃,北风1-2级,北风1-2级
2021年11月9日,多云/多云,18℃,12℃,北风1-2级,北风1-2级
2021年11月10日,晴/晴,22℃,13℃,北风1-2级,北风1-2级
2021年11月11日,多云/多云,23℃,17℃,北风1-2级,北风1-2级
2021年11月12日,多云/多云,24℃,13℃,北风1-2级,北风1-2级
2021年11月13日,多云/晴,24℃,14℃,北风1-2级,北风1-2级
2021年11月14日,晴/多云,24℃,16℃,北风1-2级,北风1-2级
2021年11月15日,多云/多云,24℃,17℃,北风1-2级,北风1-2级
2021年11月16日,多云/多云,26℃,18℃,北风1-2级,北风1-2级
2021年11月17日,多云/多云,23℃,16℃,北风1-2级,北风1-2级
2021年11月18日,多云/多云,25℃,18℃,北风1-2级,北风1-2级
2021年11月19日,多云/多云,27℃,18℃,北风1-2级,北风1-2级
2021年11月20日,多云/多云,26℃,20℃,北风1-2级,北风1-2级
2021年11月21日,多云/小雨,27℃,14℃,北风3-4级,北风3-4级
2021年11月22日,阵雨/多云,18℃,12℃,北风3-4级,北风3-4级
2021年11月23日,多云/多云,19℃,11℃,北风1-2级,北风1-2级
2021年11月24日,多云/多云,20℃,14℃,北风1-2级,北风1-2级
2021年11月25日,多云/多云,21℃,13℃,北风1-2级,北风1-2级
2021年11月26日,晴/晴,24℃,14℃,北风1-2级,北风1-2级
2021年11月27日,晴/晴,24℃,15℃,北风1-2级,北风1-2级
2021年11月28日,多云/晴,25℃,15℃,北风1-2级,北风1-2级
2021年11月29日,多云/多云,26℃,15℃,北风3-4级,北风3-4级
2021年11月30日,晴/晴,22℃,10℃,北风3-4级,北风3-4级
